title,genre,director,country,year,imdb
? (фильм),драматический фильм,Ханун Брамантйо [d],Индонезия,7 апреля 2011,ID 1979169
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,ID 0122844
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,ID 0123368
1 миля до тебя,драма мелодрама,Лейф Тильден,США,2017,ID 2184233
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,ID 6301712
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
«SOS» над тайгой,"драма, приключения","Аркадий Кольцатый, Валентин Перов",СССР,1976,ID 0191415
(Не)идеальные роботы,комедия фантастика мелодрамма,Энтони Хайнс Каспер Кристенсен,США,2023,ID 12579470
0-41*,документальный драма комедия,Сенна Хегде,Индия,2016,ID 4570696
1 (документальный фильм),документальный,Пол Краудер,США,2013,ID 2518788
