title,genre,director,country,year,imdb
? (фильм),драматический фильм,Ханун Брамантйо,Индонезия,2011,7.0
1 миля до тебя,драма мелодрама,Лейф Тильден,США,2017,6.3
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,5.3
1 (документальный фильм),документальный,Пол Краудер,США,2013,7.9
0-41*,документальный драма комедия,Сенна Хегде,Индия,2016,8.9
(Не)идеальные роботы,комедия фантастика мелодрамма,Энтони Хайнс Каспер Кристенсен,США,2023,5.5
«SOS» над тайгой,"драма, приключения","Аркадий Кольцатый, Валентин Перов",СССР,1976,4.8
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,not found
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
